rep,runtime,case,ok,result,iterations,load_ns,min_ns,median_ns,p99_ns,cpu_user_ns,cpu_system_ns,p_cpu_ns,e_share,ipc,instructions,cycles,rss_peak_bytes,error
1,zwasm,vtable_bi,True,-208336512,8,650042,209649792,217769833,246031542,1533078000.0,70643000,0,1.0,3.401230665009756,6770885063,1990716223,24674304,
1,zwasm,vtable_poly4,True,-126115384,8,528667,217715500,230415292,280354375,1615843000.0,73263000,0,1.0,3.3043316854302716,6999509553,2118282975,24674304,
1,zwasm,vtable_poly6,True,579248763,7,452916,218507833,242118541,270559417,1474048000.0,64920000,0,1.0,3.2996384575198583,6593182562,1998153024,24674304,
1,zwasm,graphql_as,True,5,40,1179542,39775042,55169209,65965459,1879184000.0,87036000,0,1.0,3.622018872993988,8786074058,2425739447,24674304,
1,zwasm,tailcall_fsm,True,-1841735369,39,248291,41050958,52811542,64807542,1741119000.0,110154000,0,1.0,3.3868310322040656,7705739586,2275206384,136314880,
1,zwasm,eh_parser_exnref,True,830008030,26,182750,71235125,81416916,91381209,1814319000.0,86711000,0,1.0,2.96371924356346,7103886666,2396949941,136904704,
1,zwasm,eh_parser_legacy,False,,,,,,,,,,,,,,,wasm_module_new failed (invalid wasm or unsupported feature)
1,zwasm,gc_trees,False,,,,,,,,,,,,,,,N/A — not run: zwasm v2.7.0 never reclaims GC structs and grows its GC heap far faster than the allocation rate (124 MB for 31K 24-byte structs); the process segfaults at ~2.3 GB
1,zwasm,callref_dispatch,True,-750120562,16,231708,106821583,121037042,132705833,1655295000.0,76857000,0,1.0,3.4254499636208804,7320923044,2137215000,137003008,
1,zwasm,callref_dispatch.indirect,True,-750120562,16,344958,93490583,116904208,147950208,1583496000.0,72362000,0,1.0,3.399368173541591,7122031255,2095104411,137019392,
1,zwasm,relaxed_dot,False,,,,,,,,,,,,,,,init warmup failed: `relaxed_dot(7)` trapped: trap: unreachable
1,zwasm,relaxed_madd,False,,,,,,,,,,,,,,,init warmup failed: `relaxed_madd(7)` trapped: trap: unreachable
1,zwasm,mem64_chase,True,433527714,18,11601833,76698541,128990667,146659625,1902346000.0,87500000,0,1.0,2.2493291653185805,6106332146,2714734793,204210176,
1,zwasm,mem64_chase.mem32,True,433527714,18,372208,110070084,121864917,141422125,1868211000.0,88310000,0,1.0,2.508309988568618,6099538232,2431732226,271319040,
1,zwasm,multimem_transform,True,902712413,62,424834,15619333,34097667,42842042,1702115000.0,74507000,0,1.0,4.644159086197541,11311674963,2435677752,271319040,
1,zwasm,multimem_transform.single,True,902712413,50,415042,27436208,35029667,40187250,1503801000.0,69717000,0,1.0,4.642999334479237,9127147287,1965786904,271319040,
1,zwasm,extconst_init,True,-1152068691,1216,4246708,959458,2476417,4224667,2130428000.0,451266000,11416,1.0,3.252365096755602,10517406956,3233771930,2140504064,
1,zwasm,extconst_init.mvp,True,-1152068691,1896,949041,392500,1194541,2774542,1480643000.0,473199000,49416,1.0,3.3251232446064427,8346180425,2510036414,3331653632,
1,zwasm,graphql_porf,True,0,48,3384792,20994292,43716292,55218791,1645751000.0,176809000,0,1.0,3.2313321770861974,8062460876,2495088847,3818684416,
1,zwasm,sqlite3,False,,,,,,,,,,,,,,,N/A — the harness only has a WASI preview-1 + bench.* import shim for Pulley
1,wasmz,fib,True,832040,17,926500,82260667,116919250,237908958,1551562000.0,75763000,0,1.0,2.7359100008577477,5776955289,2111529724,5668864,
1,wasmz,fib_tail,True,873876091,3014,493458,268500,689833,1555667,1656991000.0,114198000,21958,1.0,2.447152159144957,5454756328,2229022134,5947392,
1,wasmz,factorial,True,-2102132736,16384,383208,3083,6125,29583,21967000.0,88449000,104292,0.9991,2.107864588971134,340484558,161530565,5980160,
1,wasmz,sieve,False,,,,,,,,,,,,,,,N/A — not run: wasmz v0.1.4 segfaults on this module's v128 ops (the scalar build runs)
1,wasmz,crc32,False,,,,,,,,,,,,,,,N/A — not run: wasmz v0.1.4 segfaults on this module's v128 ops (the scalar build runs)
1,wasmz,matmul_simd,True,48907,269,450167,2493708,5541583,9204666,1261013000.0,65501000,0,1.0,3.4396160935624263,5844695845,1699229125,6209536,
