rep,runtime,variant,scene,frames,fps_mean,fps_median,frame_ms_p50,frame_ms_p95,frame_ms_p99,frame_ms_max,guest_ms_mean,encode_ms_mean,gpu_ms_mean,init_ms,load_ms,phys_footprint_peak_bytes,phys_footprint_before_guest_bytes,linear_memory_peak_bytes,cpu_ms,e_share,ipc,run_instructions,run_cycles,all_hash,final_texture_hash,adapter,error
10,wamr,simd128,0,121,5.57,5.758,173.685,235.745,240.217,242.988,137.365,4.172,37.985,201.775,78.974,53838768,,12386304,17092.126,0.9975,1.194,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
2,wamr,simd128,0,121,5.598,5.778,173.08,229.875,239.088,241.054,136.461,4.22,37.943,201.978,80.017,53658504,,12386304,16972.887,0.9975,1.202,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
3,wamr,simd128,0,121,5.568,5.752,173.863,228.754,241.199,241.684,136.238,4.16,39.209,205.256,79.855,53773232,,12386304,16929.403,0.9975,1.205,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
4,wamr,simd128,0,121,5.592,5.836,171.35,229.481,237.851,240.605,136.75,4.19,37.887,197.184,79.57,53724040,,12386304,16980.366,0.9975,1.201,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
5,wamr,simd128,0,121,5.57,5.76,173.626,234.282,241.868,242.546,137.618,4.232,37.685,204.236,80.931,53707696,,12386304,17108.416,0.9975,1.192,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
6,wamr,simd128,0,121,5.537,5.739,174.24,232.654,240.717,241.701,138.619,4.217,37.782,201.434,80.171,53592968,,12386304,17239.464,0.9976,1.183,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
7,wamr,simd128,0,121,5.538,5.735,174.373,235.603,240.633,242.386,138.441,4.25,37.879,200.021,84.483,53330864,,12386304,17220.2,0.9975,1.185,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
8,wamr,simd128,0,121,5.538,5.731,174.484,234.94,241.274,242.558,138.631,4.235,37.714,199.406,84.599,53625776,,12386304,17199.649,0.9975,1.186,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
9,wamr,simd128,0,121,5.542,5.735,174.357,234.517,242.98,269.423,138.464,4.127,37.865,202.345,79.801,53756808,,12386304,17180.815,0.9973,1.187,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
1,wamr,simd128,1,121,10.102,11.221,89.117,136.013,142.834,143.587,85.32,3.018,10.651,241.428,81.758,44352392,,6291456,10649.104,0.9964,1.091,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
10,wamr,simd128,1,121,10.167,11.271,88.72,133.883,136.207,136.733,84.779,2.974,10.603,238.655,83.168,44188592,,6291456,10613.135,0.9963,1.094,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
2,wamr,simd128,1,121,10.177,11.371,87.94,134.295,137.147,137.97,84.629,2.987,10.644,238.643,81.93,44352392,,6291456,10595.862,0.9963,1.096,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
3,wamr,simd128,1,121,10.117,11.122,89.909,134.089,136.922,137.213,85.239,3.028,10.578,241.371,80.271,44336008,,6291456,10680.272,0.9963,1.087,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
4,wamr,simd128,1,121,10.133,11.155,89.642,135.097,136.476,136.517,84.988,3.07,10.633,241.733,83.321,44155784,,6291456,10656.569,0.9963,1.09,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
5,wamr,simd128,1,121,9.98,11.039,90.586,135.618,138.029,138.338,86.533,3.051,10.619,244.093,88.815,44090248,,6291456,10839.075,0.9963,1.072,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
6,wamr,simd128,1,121,10.094,11.194,89.33,134.788,137.145,138.236,85.432,3.025,10.615,247.165,80.949,44073864,,6291456,10697.103,0.9962,1.086,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
7,wamr,simd128,1,121,10.109,11.167,89.55,134.872,137.358,138.094,85.266,3.047,10.611,241.939,82.52,44090288,,6291456,10684.437,0.9963,1.087,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
8,wamr,simd128,1,121,10.083,11.143,89.746,135.73,137.66,138.29,85.486,3.042,10.653,243.124,81.098,44008328,,6291456,10691.17,0.9963,1.086,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
9,wamr,simd128,1,121,10.146,11.264,88.775,134.256,137.514,138.212,85.025,2.971,10.566,250.743,88.132,44008328,,6291456,10629.135,0.9963,1.092,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
1,wasm3,scalar,0,121,6.888,7.037,142.11,177.896,186.937,190.249,103.083,4.252,37.848,177.626,8.522,55133064,,12386304,12976.2,0.9967,1.038,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
10,wasm3,scalar,0,121,6.998,7.155,139.767,175.624,182.138,186.098,100.973,4.255,37.678,181.085,4.674,55133064,,12386304,12747.788,0.9967,1.057,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
2,wasm3,scalar,0,121,6.994,7.222,138.464,176.065,187.438,187.986,100.889,4.26,37.822,181.849,4.571,55018336,,12386304,12694.484,0.9967,1.061,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
3,wasm3,scalar,0,121,7.043,7.226,138.389,175.867,179.86,186.354,99.954,4.237,37.803,179.277,4.925,55149408,,12386304,12614.372,0.9967,1.068,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
4,wasm3,scalar,0,121,7.04,7.239,138.14,175.769,180.401,186.143,100.029,4.18,37.827,183.753,4.902,55231328,,12386304,12617.485,0.9967,1.068,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
5,wasm3,scalar,0,121,6.903,7.053,141.792,178.188,188.329,189.066,103.02,4.22,37.621,181.325,4.787,55034720,,12386304,12974.344,0.9968,1.038,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
6,wasm3,scalar,0,121,7.048,7.207,138.749,175.898,179.909,186.223,99.882,4.26,37.752,182.424,4.663,55182176,,12386304,12597.83,0.9966,1.069,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
7,wasm3,scalar,0,121,7.015,7.159,139.692,175.973,180.324,187.105,100.849,4.159,37.536,177.951,4.483,54903648,,12386304,12696.11,0.9967,1.061,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
8,wasm3,scalar,0,121,7.002,7.138,140.1,177.814,185.003,187.203,101.055,4.17,37.588,180.125,4.811,55100296,,12386304,12716.183,0.9967,1.059,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
9,wasm3,scalar,0,121,7.04,7.245,138.031,175.464,181.361,184.789,99.995,4.252,37.795,181.678,4.821,55133064,,12386304,12599.629,0.9967,1.069,,,f9fa7399f9cbc21b,d8670619b1c3d306,Apple A12 GPU (Metal),
1,wasm3,scalar,1,121,12.784,14.414,69.376,112.863,115.535,116.387,64.557,3.032,10.633,216.846,4.665,44057440,,6291456,8172.806,0.9952,0.957,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
10,wasm3,scalar,1,121,12.867,14.997,66.678,112.538,114.662,116.649,64.118,3.005,10.596,225.753,4.663,44106592,,6291456,8139.953,0.9951,0.961,,,a4d95f880db7a22b,33e4bacd203e3c72,Apple A12 GPU (Metal),
