variant,build,runtime,rep,case,result,iterations,median_ms,cpu_user_ms,e_share,ipc,instructions,cycles
base,tinywasm next b45a98a,tinywasm,2,vtable_poly4 (200K),-126115384,28,71.473,1992.95,1.000,2.65,9671479497,3648229697
base,tinywasm next b45a98a,tinywasm,2,graphql-validation (AS),5,98,19.917,1968.91,1.000,2.32,8359704698,3603158212
base,tinywasm next b45a98a,tinywasm,2,graphql-validation (Porffor),0,113,16.957,1633.80,1.000,2.06,7328022699,3552756054
base,tinywasm next b45a98a,tinywasm,2,sieve(10000) [scalar build],1229,1761,1.119,1965.33,1.000,3.14,11297511566,3596746768
base,tinywasm next b45a98a,tinywasm,2,crc32(64KB) [scalar build],-1910355869,247,8.126,1992.95,1.000,3.19,11631298240,3648762874
base,tinywasm next b45a98a,tinywasm,2,convolution 256×256 [scalar build],8190685,89,22.399,1983.16,1.000,3.05,11072344397,3629674417
base,tinywasm next b45a98a,tinywasm,2,bulk_memory (memory.copy/fill) [scalar build],8698902,118,16.889,1983.52,1.000,3.28,11925010328,3633984079
base,tinywasm next b45a98a,tinywasm,2,tail-call FSM (65536 return_call),-1841735369,246,8.055,1977.54,1.000,3.08,11131244961,3618895980
base,tinywasm next b45a98a,tinywasm,2,"EH parser, exnref (4096 stmts, 25% throw)",830008030,86,23.038,1970.83,1.000,2.66,9585420966,3608050897
base,tinywasm next b45a98a,tinywasm,2,GC binary trees (~130K struct.new),-81253392,12,155.710,1829.88,1.000,2.19,7460097506,3407455371
base,tinywasm next b45a98a,tinywasm,2,call_ref twin: call_indirect (200K),-750120562,66,30.208,1985.19,1.000,2.58,9359605270,3633253474
base,tinywasm next b45a98a,tinywasm,3,fib(30),832040,11,166.492,1819.28,0.999,3.18,10597297136,3332521294
base,tinywasm next b45a98a,tinywasm,3,matmul relaxed-simd FMA,48907,451,4.452,2006.28,1.000,3.23,11869620336,3672096772
base,tinywasm next b45a98a,tinywasm,3,audio DSP (1000 frames × 512),761667740,1,1690.904,1683.53,1.000,3.36,10362638579,3080423613
base,tinywasm next b45a98a,tinywasm,3,call_indirect (200K dispatches),-9175573,57,34.680,1965.71,1.000,2.45,8831150503,3603492641
base,tinywasm next b45a98a,tinywasm,3,xmrsplayer (1024-frame buffer),846043454,81,25.400,2046.13,1.000,2.58,9654577783,3745759966
base,tinywasm next b45a98a,tinywasm,3,vtable_poly4 (200K),-126115384,28,71.314,1989.47,1.000,2.66,9671396010,3640562826
base,tinywasm next b45a98a,tinywasm,3,graphql-validation (AS),5,99,19.754,1974.15,1.000,2.34,8443311118,3613571856
base,tinywasm next b45a98a,tinywasm,3,graphql-validation (Porffor),0,111,16.804,1585.45,1.000,2.08,7199727490,3454761452
base,tinywasm next b45a98a,tinywasm,3,sieve(10000) [scalar build],1229,1785,1.120,1989.53,1.000,3.14,11453317086,3643766167
base,tinywasm next b45a98a,tinywasm,3,crc32(64KB) [scalar build],-1910355869,249,8.054,1998.31,1.000,3.21,11724871229,3657429622
base,tinywasm next b45a98a,tinywasm,3,convolution 256×256 [scalar build],8190685,89,22.395,1985.53,1.000,3.05,11072437125,3633347432
base,tinywasm next b45a98a,tinywasm,3,bulk_memory (memory.copy/fill) [scalar build],8698902,119,16.725,1979.43,1.000,3.31,12026039847,3627962160
base,tinywasm next b45a98a,tinywasm,3,tail-call FSM (65536 return_call),-1841735369,251,7.992,2001.82,1.000,3.10,11357460073,3662608737
