rep,variant,case,result,iterations,cycles_per_call,instructions_per_call,cpu_ms_per_call,e_share
2,pr1,call_ref twin: call_indirect (200K),-750120562,67,53991931.58208955,138360627.6119403,29.49223880597015,1.0
3,pr1,call_ref twin: call_indirect (200K),-750120562,67,54070089.82089552,138359950.97014925,29.541641791044775,1.0
4,pr1,call_ref twin: call_indirect (200K),-750120562,67,54317594.23880597,138363987.76119402,29.66089552238806,1.0
5,pr1,call_ref twin: call_indirect (200K),-750120562,66,54118308.09090909,138355516.5909091,29.565757575757573,1.0
1,pr2,call_ref twin: call_indirect (200K),-750120562,67,53399174.1641791,134758874.43283582,29.16313432835821,1.0
2,pr2,call_ref twin: call_indirect (200K),-750120562,67,53506737.50746269,134755812.26865673,29.22402985074627,1.0
3,pr2,call_ref twin: call_indirect (200K),-750120562,67,53197531.50746269,134752799.70149255,29.067014925373133,1.0
4,pr2,call_ref twin: call_indirect (200K),-750120562,67,53505079.53731343,134757217.01492536,29.230447761194032,1.0
5,pr2,call_ref twin: call_indirect (200K),-750120562,68,53147795.926470585,134755258.11764705,29.03191176470588,1.0
1,pr3,call_ref twin: call_indirect (200K),-750120562,69,52797150.86956522,134206389.17391305,28.83304347826087,1.0
2,pr3,call_ref twin: call_indirect (200K),-750120562,68,52982388.205882356,134199266.04411764,28.943676470588237,1.0
3,pr3,call_ref twin: call_indirect (200K),-750120562,68,52928213.705882356,134207365.76470588,28.90529411764706,1.0
4,pr3,call_ref twin: call_indirect (200K),-750120562,68,52938322.85294118,134206644.13235295,28.9175,1.0
5,pr3,call_ref twin: call_indirect (200K),-750120562,69,52695293.88405797,134201156.1884058,28.783623188405794,1.0
1,ub,call_ref twin: call_indirect (200K),-750120562,68,52448474.926470585,133208481.01470588,28.643529411764707,1.0
2,ub,call_ref twin: call_indirect (200K),-750120562,70,52499193.8,133207155.87142856,28.684,1.0
3,ub,call_ref twin: call_indirect (200K),-750120562,65,52524057.07692308,133201768.98461539,28.694307692307692,1.0
4,ub,call_ref twin: call_indirect (200K),-750120562,69,53190468.30434783,133206684.5942029,29.046666666666667,1.0
5,ub,call_ref twin: call_indirect (200K),-750120562,69,53031419.376811594,133203295.30434783,28.97246376811594,1.0
1,base,convolution 256×256 [scalar build],8190685,88,41000657.76136363,124406786.57954545,22.39875,1.0
2,base,convolution 256×256 [scalar build],8190685,89,40930651.01123595,124406545.03370787,22.357977528089886,1.0
3,base,convolution 256×256 [scalar build],8190685,89,40934149.269662924,124405906.1011236,22.36325842696629,1.0
4,base,convolution 256×256 [scalar build],8190685,89,40976151.06741573,124405890.98876405,22.382359550561798,1.0
5,base,convolution 256×256 [scalar build],8190685,89,40887283.20224719,124405139.98876405,22.33808988764045,1.0
1,pr1,convolution 256×256 [scalar build],8190685,96,38384580.072916664,117048856.13541667,20.9765625,1.0
2,pr1,convolution 256×256 [scalar build],8190685,96,38181956.958333336,117060537.89583333,20.838229166666668,1.0
3,pr1,convolution 256×256 [scalar build],8190685,95,38271549.8,117062405.83157894,20.877052631578948,1.0
4,pr1,convolution 256×256 [scalar build],8190685,95,38192765.6,117052568.8631579,20.862526315789474,1.0
5,pr1,convolution 256×256 [scalar build],8190685,96,38376062.479166664,117051798.01041667,20.97,1.0
1,pr2,convolution 256×256 [scalar build],8190685,96,38182144.645833336,117053636.38541667,20.861145833333335,1.0
2,pr2,convolution 256×256 [scalar build],8190685,95,38191128.72631579,117051852.18947369,20.86063157894737,1.0
3,pr2,convolution 256×256 [scalar build],8190685,96,38174800.895833336,117052522.9375,20.852708333333332,1.0
4,pr2,convolution 256×256 [scalar build],8190685,96,38229581.479166664,117054094.51041667,20.876875000000002,1.0
5,pr2,convolution 256×256 [scalar build],8190685,96,38424726.447916664,117064003.10416667,20.961458333333333,1.0
1,pr3,convolution 256×256 [scalar build],8190685,101,36088453.83168317,112637046.30693069,19.71683168316832,1.0
2,pr3,convolution 256×256 [scalar build],8190685,100,36076586.28,112634828.53,19.7093,1.0
3,pr3,convolution 256×256 [scalar build],8190685,100,36116928.95,112637528.33,19.7257,1.0
4,pr3,convolution 256×256 [scalar build],8190685,101,36087445.217821784,112637396.84158416,19.70970297029703,1.0
5,pr3,convolution 256×256 [scalar build],8190685,101,36107730.267326735,112637402.48514852,19.71821782178218,1.0
1,ub,convolution 256×256 [scalar build],8190685,101,36402523.32673267,112645986.48514852,19.864257425742572,1.0
2,ub,convolution 256×256 [scalar build],8190685,100,36344321.36,112635282.99,19.8621,1.0
3,ub,convolution 256×256 [scalar build],8190685,102,36295852.98039216,112636669.48039216,19.829509803921567,1.0
4,ub,convolution 256×256 [scalar build],8190685,101,36180295.74257426,112645186.2970297,19.752772277227724,1.0
5,ub,convolution 256×256 [scalar build],8190685,102,36115513.71568628,112634134.96078432,19.727745098039215,1.0
1,base,crc32(64KB) [scalar build],-1910355869,250,14812074.136,47087830.384,8.09204,1.0
2,base,crc32(64KB) [scalar build],-1910355869,247,14686328.862348178,47088227.11740891,8.022388663967611,1.0
3,base,crc32(64KB) [scalar build],-1910355869,249,14751855.080321286,47087682.787148595,8.05867469879518,1.0
4,base,crc32(64KB) [scalar build],-1910355869,247,14654642.813765183,47087921.76923077,8.005587044534414,1.0
5,base,crc32(64KB) [scalar build],-1910355869,244,14871277.55737705,47088256.405737706,8.122254098360655,1.0
1,pr1,crc32(64KB) [scalar build],-1910355869,273,13480685.937728938,44767710.6996337,7.364615384615385,1.0
2,pr1,crc32(64KB) [scalar build],-1910355869,272,13754545.551470589,44767173.566176474,7.513382352941177,1.0
3,pr1,crc32(64KB) [scalar build],-1910355869,272,13498589.264705881,44768641.08455882,7.373198529411765,1.0
4,pr1,crc32(64KB) [scalar build],-1910355869,268,13496042.395522388,44768139.17910448,7.37044776119403,1.0
5,pr1,crc32(64KB) [scalar build],-1910355869,241,13581374.03319502,44767819.27385892,7.4199585062240665,1.0
1,pr2,crc32(64KB) [scalar build],-1910355869,277,13328815.931407942,43843993.4765343,7.285415162454873,1.0
2,pr2,crc32(64KB) [scalar build],-1910355869,277,13305431.909747293,43844102.61371841,7.269025270758123,1.0
3,pr2,crc32(64KB) [scalar build],-1910355869,273,13382448.611721613,43848256.38095238,7.302673992673993,1.0
4,pr2,crc32(64KB) [scalar build],-1910355869,273,13337097.461538462,43847316.036630034,7.279304029304029,1.0
5,pr2,crc32(64KB) [scalar build],-1910355869,274,13375704.208029198,43844905.627737224,7.304817518248175,1.0
1,pr3,crc32(64KB) [scalar build],-1910355869,283,12771030.992932862,42653046.86925795,6.977455830388692,1.0
2,pr3,crc32(64KB) [scalar build],-1910355869,286,12787244.958041959,42653620.332167834,6.9841258741258745,1.0
3,pr3,crc32(64KB) [scalar build],-1910355869,285,12771857.259649122,42653598.992982455,6.9754035087719295,1.0
